Theme,Year,Citation,Link,Data,Code,Themes,,,,,,,,,,,,,,,,,,,
1,2024,"Sapes GL, et al. Mechanistic links between physiology and spectral reflectance enable previsual detection of oak wilt and drought stress. Proceedings of the National Academy of Sciences 121:e2316164121.",https://doi.org/10.1073/pnas.2316164121,[DRUM](https://doi.org/10.13020/0bt3-pd25),[DRUM](https://doi.org/10.13020/0bt3-pd25),,,,,,,,,,,,,,,,,,,,
4,2024,"Ding X, et al. Long-Term Stability of Productivity Increases with Tree Diversity in Canadian Forests. Proceedings of the National Academy of Sciences 121(49): e2405108121.",https://doi.org/10.1073/pnas.2405108121,[Github](https://github.com/XiaxiaDing1025/Temporal-stability_diversity_XXD.git),[Github](https://github.com/XiaxiaDing1025/Temporal-stability_diversity_XXD.git),,,,,,,,,,,,,,,,,,,,
5,2025,"Reich, PB, et al. Mitigation Justice. Proceedings of the National Academy of Sciences 122(17):e2411231122
",https://doi.org/10.1073/pnas.2411231122,[Zenodo](https://doi.org/10.5281/zenodo.14749192),,,,,,,,,,,,,,,,,,,,,
4,2025,"Zeng X-M, et al. Temperature Thresholds Induce Abrupt Shifts in Biodiversity and Ecosystem Services in Montane Ecosystems Worldwide. Proceedings of the National Academy of Sciences 122 (16): e2413981122.",https://doi.org/10.1073/pnas.2413981122,,,,,,,,,,,,,,,,,,,,,,
2,2026,"Sutherland WJ, et al. Nine changes needed to deliver a radical transformation in biodiversity measurement. PNAS, 123 (10) e2519345123.",https://doi.org/10.1073/pnas.2519345123,,[Code in Supplementary Data](https://www.pnas.org/doi/full/10.1073/pnas.2519345123),,,,,,,,,,,,,,,,,,,,
1,2024,"Rakotoarivony NAM, et al. Detecting the invasive Lespedeza cuneata in grasslands using commercial small satellite imagery. International Journal of Remote Sensing, 21:6802-6824",https://doi.org/10.1080/01431161.2023.2275321,[Supplementary Data](https://doi.org/10.1080/01431161.2023.2275321),,,,,,,,,,,,,,,,,,,,,
2,2024,"Rakotoarivony NAM, et al. Detecting the invasive Lespedeza cuneata in grasslands using commercial small satellite imagery. International Journal of Remote Sensing, 44(21), 6802-6824.",https://doi.org/10.1080/01431161.2023.2275321,[USGS](https://lpdaac.usgs.gov/products/aehyp1tppokv001/),,,,,,,,,,,,,,,,,,,,,
5,2021,"Butler EE, et al. Updated respiration routines alter spatio-temporal patterns of carbon cycling in a global land surface model. Environmental Research Letters 16:104015.",https://doi.org/10.1088/1748-9326/ac2528,[Zenodo](https://zenodo.org/record/5217876),,4,,,,,,,,,,,,,,,,,,,
3,2023,"Bernath-Plaisted JS, et al. Microclimate complexity in temperate grasslands: implications for conservation and management under climate change. Environmental Research Letters 18 064023.",https://doi.org/10.1088/1748-9326/acd4d3,Data upon request,,,,,,,,,,,,,,,,,,,,,
5,2023,"Bernath-Plaisted JS, et al. Microclimate complexity in temperate grasslands: implications for conservation and management under climate change. Environmental Research Letters 18:064023.",https://doi.org/10.1088/1748-9326/acd4d3,Data upon request,,,,,,,,,,,,,,,,,,,,,
5,2024,"Lei C, et al. Albedo of Crops as a Nature-Based Climate Solution to Global Warming. Environmental Research Letters 19(8):084032.",https://doi.org/10.1088/1748-9326/ad5fa2,[GLBRC Sustainability Data Catalog](https://data.sustainability.glbrc.org/datatables/743),,,,,,,,,,,,,,,,,,,,,
4,2024,"Carter KR, et al. Photosynthetic Responses to Temperature across the Tropics: A Meta-Analytic Approach. Annals of Botany 135(7):1293–1310.",https://doi.org/10.1093/aob/mcae206.,[ESS-DIVE](https://doi.org/10.15485/2513897),,,,,,,,,,,,,,,,,,,,,
4,2022,"Posch BC, et al. Wheat respiratory O2 consumption falls with night warming alongside greater respiratory CO2 loss and reduced biomass. Journal of Experimental Botany 73(3): 915-926.",https://doi.org/10.1093/jxb/erab454,"Data supporting the findings of this study are available from the corresponding author, Owen Atkin, upon request",,,,,,,,,,,,,,,,,,,,,
3,2025,"Wang S, et al. Variation of Root Resource Acquisition and Conservation Strategies in a Temperate Forest Is Linked with Plant Growth Forms. Tree Physiology 45 (4): tpaf027.",https://doi.org/10.1093/treephys/tpaf027,,,,,,,,,,,,,,,,,,,,,,
4,2022,Schweiger et al. Coupling spectral and resource-use complementarity in experimental grassland and forest communities. Proceedings of the Royal Society B 288:1290.,https://doi.org/10.1098/rspb.2021.1290,[EcoSIS 1](https://doi.org/10.21232/tYbmucPP):&:[EcoSIS 2](https://doi.org/10.21232/gMpYDoyN),[Github](https://github.com/annakat/spectral_hypervolume),,,,,,,,,,,,,,,,,,,,
4,2023,"Warner E, et al. Higher aboveground carbon stocks in mixed-species planted forests than monocultures: a meta-analysis. Frontiers in Forests and Global Change 6 - 2023.",https://doi.org/10.1101/2022.01.17.476441,[Zenodo](https://zenodo.org/records/8430799),,,,,,,,,,,,,,,,,,,,,
1,2024,"Rea LMS, et al. Genetically based variation in fitness and carbon assimilation among bur oak populations. bioRxiv.",https://doi.org/10.1101/2024.10.30.620350,[Dryad](https://datadryad.org/stash/share/GA7t978rV-y5ECrPZEwabzXN5No3z6JjFZ0jJQMcV-c),,,,,,,,,,,,,,,,,,,,,
3,2022,"Belluau M, et al.  Exotics are more complementary over time in tree biodiversity-ecosystem functioning experiments. Functional Ecology 35:2550- 2561.",https://doi.org/10.1111/1365-2435.13900,[Dryad](https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.13900),,,,,,,,,,,,,,,,,,,,,
1,2022,"Fontes, C. G., et al. Adaptive variation among oaks in wood anatomical properties is shaped by climate of origin and shows limited plasticity across environments. Functional Ecology 36:326-340.",https://doi.org/10.1111/1365-2435.13964,[Dryad](https://doi-org.ezp3.lib.umn.edu/10.5061/dryad.5hqbzkh74),,,,,,,,,,,,,,,,,,,,,
5,2022,"Barry KE, et al. A graphical null model for scaling biodiversity-ecosystem functioning relationships. Journal of Ecology 109: 1549- 1560.",https://doi.org/10.1111/1365-2745.13578,[Dryad](https://doi.org/10.5061/dryad.3xsj3txfk):&:[BCI 50-Ha plot data](http://ctfs.si.edu/webatlas/datasets/bci/),[Dryad](https://doi.org/10.5061/dryad.3xsj3txfk),3,,,,,,,,,,,,,,,,,,,
3,2023,"Ladouceur E, et al. The recovery of plant community composition following passive restoration across spatial scales. Journal of Ecology 111:814-829",https://doi.org/10.1111/1365-2745.14063,[EDI](https://doi.org/10.6073/pasta/c8ee28959736ac4dc72f7adf6e2be9fd),[Zenodo](https://doi.org/10.5281/zenodo.7433207),,,,,,,,,,,,,,,,,,,,
4,2023,Hordijk I et al. 2023. Evenness mediates the global relationship between forest productivity and richness. Journal of Ecology 111:1308-1326,https://doi.org/10.1111/1365-2745.14098,[ETHZ Research Collection](http://doi.org/10.3929/ethz-b-000597256),,,,,,,,,,,,,,,,,,,,,
3,2024,"Revillini D, et al. Plant Diversity and Functional Identity Drive Grassland Rhizobacterial Community Responses after 15 Years of CO and Nitrogen Enrichment. Journal of Ecology 112(4):817–31.",https://doi.org/10.1111/1365-2745.14271,[Figshare](https://doi.org/10.6084/m9.figshare.23921556),,,,,,,,,,,,,,,,,,,,,
3,2024,"Blondeel H, et al. Tree diversity reduces variability in sapling survival under drought. Journal of Ecology, 112, 1164-1180.",https://doi.org/10.1111/1365-2745.14294,[Figshare](https://doi.org/10.6084/m9.figshare.25359751),,,,,,,,,,,,,,,,,,,,,
3,2024,"Butler EE, et al. Elevated CO2 and enriched nitrogen decrease species richness most at small spatial scales in a grassland experiment. Journal of Ecology 113:2800–2812.",https://doi.org/10.1111/1365-2745.70128,[Zenodo](https://zenodo.org/records/10463188),[Zenodo](https://zenodo.org/records/10463188),,,,,,,,,,,,,,,,,,,,
2,2022,"Kothari S, et al. Reflectance spectroscopy allows rapid, accurate and non-destructive estimates of functional traits from pressed leaves. Methods in Ecology and Evolution 0:1- 17.",https://doi.org/10.1111/2041-210X.13958,[Data Respository of UMN](https://conservancy.umn.edu/handle/11299/228067),[DRUM](https://conservancy.umn.edu/handle/11299/228067),,,,,,,,,,,,,,,,,,,,
3,2024,"Cavender-Bares J, et al. Forest and Biodiversity 2: A tree diversity experiment to understand the consequences of dimensions of diversity and composition for long-term ecosystem function and resilience. Methods in Ecology and Evolution 15:2400–2414.",https://doi.org/10.1111/2041-210X.14435Digital Object Identifier (DOI),[EDI](https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-cdr&identifier=737&revision=2),,,,,,,,,,,,,,,,,,,,,
3,2021,"Williams LJ, et al. Enhanced light interception and light use efficiency explain overyielding in young tree communities. Ecology Letters 24: 996- 1006.",https://doi.org/10.1111/ele.13717,[Dryad](https://doi.org/10.5061/dryad.9w0vt4bf1),,,,,,,,,,,,,,,,,,,,,
3,2021,"Pellegrini AFA, et al. Disease and fire interact to influence transitions between ecosystem states over a 54-year experiment. Ecology Letters 24: 1007- 1017.",https://doi.org/10.1111/ele.13719,[Oak Wilt Dataset](https://figshare.com/articles/dataset/Dataset_for_oak_wilt/13729258/1),,,,,,,,,,,,,,,,,,,,,
3,2021,"Avolio, ML, et al. Determinants of community compositional change are equally affected by global change. Ecology Letters 24:1892- 1904.",https://doi.org/10.1111/ele.13824,[EDI Data Portal](https://doi.org/10.6073/pasta/1d54a326d6420a678b1553d493bfca1a),[Github](https://github.com/mavolio/CoRRE-Community-Change-Paper),,,,,,,,,,,,,,,,,,,,
3,2022,"Pubin Hong P, et al. Biodiversity promotes ecosystem functioning despite environmental change. Ecology Letters 25:555- 569.",https://doi.org/10.1111/ele.13936,[Figshare](https://doi.org/10.6084/m9.figshare.16947451.v1),,5,,,,,,,,,,,,,,,,,,,
3,2022,"Urgoiti J, et al. No complementarity no gain--Net diversity effects on tree productivity occur once complementarity emerges during early stand development. Ecology Letters 25: 851-862.",https://doi.org/10.1111/ele.13959,[Figshare](https://doi-org.ezp1.lib.umn.edu/10.6084/m9.figshare.14885907.v1),,,,,,,,,,,,,,,,,,,,,
2,2023,"Pellegrini A, et al. Consistent physiological, ecological and evolutionary effects of fire regime on conservative leaf economics strategies in plant communities 26(4): 597-608.",https://doi.org/10.1111/ele.14182,[Figshare](https://figshare.com/articles/dataset/Dataset_for_fire_and_plant_traits/21572373),[Figshare](https://figshare.com/articles/dataset/Dataset_for_fire_and_plant_traits/21572373),,,,,,,,,,,,,,,,,,,,
4,2023,"Gold ZJ, et al. Herbaceous vegetation responses to prescribed fires are larger in savannas than forests. Ecology Letters 26:1237-1246.",https://doi.org/10.1111/ele.14236,[Dryad](https://doi.org/10.5061/dryad.m37pvmd71),[Dryad](https://doi.org/10.5061/dryad.m37pvmd71),,,,,,,,,,,,,,,,,,,,
4,2025,"Mohanbabu N, et al. Elevated CO2 and N Gradually Weaken the Influence of Diversity on Ecosystem Stability. Ecology Letters 28, no. 8: e70170.",https://doi.org/10.1111/ele.70170,[EDI](https://doi.org/10.6073/pasta/55fd0ed9756dc98de2e84ae6ddf543b7),[EDI](https://doi.org/10.6073/pasta/55fd0ed9756dc98de2e84ae6ddf543b7),,,,,,,,,,,,,,,,,,,,
4,2022,"Wang G, et al. Soil enzymes as indicators of soil function: a step toward greater realism in microbial ecological modeling. Global Change Biology 28:1935- 1950.",https://doi.org/10.1111/gcb.16036,[BioCONN data at CCESR Data Catalog](https://www.cedarcreek.umn.edu/research/data),[Github](https://github.com/wanggangsheng/MEND.git),,,,,,,,,,,,,,,,,,,,
5,2022,"Anderegg, L. D. L., et al.  Representing plant diversity in land models: An evolutionary approach to make 'Functional Types' more functional. Global Change Biology 28:2541- 2554.",https://doi.org/10.1111/gcb.16040,"[Anderegg, Berner, et al. 2018](https://doi.org/10.5061/dryad.c1dn34b):&:[Falster et al. 2015](https://doi.org/10.6084/m9.figshare.c.3307692.v1):&:[Gleason et al. 2015 as dataset #241](https://www.try-db.org/):&:[Law & Berner 2015](https://doi.org/10.3334/ORNLDAAC/1292):&:[Ledo et al. 2018](https://doi.org/10.6084/m9.figshare.5144164.v1):&:[Zanne et al. 2009](https://doi.org/10.5061/dryad.234)",[Github](https://github.com/leanderegg/LineageFunctionalType_PNWexample),,,,,,,,,,,,,,,,,,,,
3,2022,"Kong W, et al. Afforestation can lower microbial diversity and functionality in deep soil layers in a semiarid region. Global Change Biology, 28, 6086-6101.",https://doi.org/10.1111/gcb.16334,Sequencing data are available in the NCBI Sequence Read Archive repository under the accession number PRJNA778306. The other data: [Dryad](https://doi.org/10.5061/dryad.7sqv9s4vn),,4,,,,,,,,,,,,,,,,,,,
3,2022,"Maschler J, et al. Links across ecological scales: Plant biomass responses to elevated CO2. Global Change Biology, 28, 6115-6134.",https://doi.org/10.1111/gcb.16351,[Dryad](https://doi.org/10.5061/dryad.hhmgqnkk4),,"4,5",,,,,,,,,,,,,,,,,,,
5,2023,"Gou X, et al. Leguminous plants significantly increase soil N cycling across global climates and biomes. Global Change Biology 29:4028-4043.",https://doi.org/10.1111/gcb.16742,[Figshare](https://doi.org/10.6084/m9.figshare.22655107),,,,,,,,,,,,,,,,,,,,,
5,2023,"Wilcox KR, et al. Accounting for herbaceous communities in process-based models will advance our understanding of 'grassy' ecosystems. Global Change Biology 29: 6453-6477.",https://doi.org/10.1111/gcb.16950,[KNZ Data Catalog](http://lter.konza.ksu.edu/data),,,,,,,,,,,,,,,,,,,,,
3,2024,"Mohanbabu N, et al. Species Interactions Amplify Functional Group Responses to Elevated CO2 and N Enrichment in a 24-Year Grassland Experiment. Global Change Biology 30(8):e17476.",https://doi.org/10.1111/gcb.17476,[Dryad](https://doi.org/10.5061/dryad.9zw3r22q5),[Dryad](https://doi.org/10.5061/dryad.9zw3r22q5),,,,,,,,,,,,,,,,,,,,
2,2025,"Potkay A, et al. Generalized Stomatal Optimization of Evolutionary Fitness Proxies for Predicting Plant Gas Exchange Under Drought, Heatwaves, and Elevated CO2. Global Change Biology 31 (1): e70049.",https://doi.org/10.1111/gcb.70049,[Zenodo](https://doi.org/10.5281/zenodo.12689369),[Zenodo](https://doi.org/10.5281/zenodo.12689369),,,,,,,,,,,,,,,,,,,,
4,2025,"Liang G, et al. Alleviating Nitrogen and Phosphorus Limitation Does Not Amplify Potassium-Induced Increase in Terrestrial Biomass. Global Change Biology 31 (4): e70193.",https://doi.org/10.1111/gcb.70193,[Figshare](https://doi.org/10.6084/m9.figshare.28644407),,,,,,,,,,,,,,,,,,,,,
3,2025,"Sáez-Sandino T, et al. A Large Fraction of Soil Microbial Taxa Is Sensitive to Experimental Warming. Global Change Biology 31: e70231.",https://doi.org/10.1111/gcb.70231,[Figshare](https://doi.org/10.6084/m9.figshare.27691290),[Figshare](https://figshare.com/articles/dataset/A_large_fraction_of_soil_microbial_taxa_is_sensitive_to_experimental_warming/27691290),,,,,,,,,,,,,,,,,,,,
3,2025,"Cantoran A, et al. Warming and Reduced Rainfall Alter Fungal Necromass Decomposition Rates and Associated Microbial Community Composition and Functioning at a Temperate-Boreal Forest Ecotone. Global Change Biology 31(10):e70536",https://doi.org/10.1111/gcb.70536,[Dryad](https://doi.org/10.5061/dryad.rn8pk0pp6):&:[Bacteria NCBI](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1291239/):&:[Fungi NCBI](https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1291230/),[Zenodo](https://zenodo.org/records/17167747),,,,,,,,,,,,,,,,,,,,
3,2021,Guerrero Martinez NR et al. Global Root Traits (GRooT) Database. Global Ecology and Biogeography 30: 25- 37.,https://doi.org/10.1111/geb.13179,[Github page](https://groot-database.github.io/GRooT/),[Github](https://github.com/GRooT-Database/GRooT-Data),,,,,,,,,,,,,,,,,,,,
3,2021,"Leao TCC, et al. Projected impacts of climate and land use changes on the habitat of Atlantic Forest plants in Brazil. Global Ecology and Biogeography, 30, 2016-2028.",https://doi.org/10.1111/geb.13365,[Dryad](https://doi.org/10.5061/dryad.ksn02v74h),,4,,,,,,,,,,,,,,,,,,,
4,2022,"Cesarz S, et al. Tree diversity effects on soil microbial biomass and respiration are context dependent across forest diversity experiments. Global Ecology and Biogeography 31:872- 885.",https://doi.org/10.1111/geb.13461,[Dryad](https://datadryad.org/stash/share/1jo89ZCsSXdGLlvO79rDRxPvB5DPe1n1zP6JBI83tP8),,,,,,,,,,,,,,,,,,,,,
5,2023,"Engel T, et al. Traits of dominant plant species drive normalized difference vegetation index in grasslands globally. Global Ecology and Biogeography 32, 695-706.",https://doi.org/10.1111/geb.13644,[iDiv](https://doi.org/10.25829/idiv.3534-q4ja39),,,,,,,,,,,,,,,,,,,,,
3,2023,"Leao T, et al. The geographic range size and vulnerability to extinction of angiosperm epiphytes in the Atlantic Forest of Brazil. Global Ecology and Biogeography 32:1607-1617.",https://doi.org/10.1111/geb.13718,[Wiley](https://onlinelibrary.wiley.com/doi/10.1111/geb.13718#support-information-section),[Wiley](https://onlinelibrary.wiley.com/doi/10.1111/geb.13718#support-information-section),,,,,,,,,,,,,,,,,,,,
5,2024,"Lipoma L, et al. No General Support for Functional Diversity Enhancing Resilience across Terrestrial Plant Communities. Global Ecology and Biogeography 33(10):e13895.",https://doi.org/10.1111/geb.13895,[Zenodo](https://doi.org/10.5281/zenodo.10476194),[Zenodo](https://doi.org/10.5281/zenodo.10476194),,,,,,,,,,,,,,,,,,,,
2,2022,"Zu P-J, et al. Plant-insect chemical communication in ecological communities: An information theory perspective. Journal of Systematics and Evolution. 0:1-9",https://doi.org/10.1111/jse.12841,[Zenodo](https://zenodo.org/record/6308472),[Zenodo](https://zenodo.org/record/6308472),3,,,,,,,,,,,,,,,,,,,
5,2023,"Moulatlet GM, et al. Global patterns of phylogenetic beta-diversity components in angiosperms. Journal of Vegetation Science 34: e13203.",https://doi.org/10.1111/jvs.13203,,[Github](https://github.com/gamamo/phylobeta),,,,,,,,,,,,,,,,,,,,
1,2020,"Meireles JE, et al. Leaf reflectance spectra capture the evolutionary history of seed plants. New Phytologist 228: 485-493.",https://doi.org/10.1111/nph.16771,[Figshare - Seed plant phylogeny](https://figshare.com/articles/dataset/seed_plant_phylogeny/12449153):&:[Figshare - Spectral Dataset](https://figshare.com/articles/dataset/Spectral_Dataset/12449147),,2,,,,,,,,,,,,,,,,,,,
1,2021,"Stasinski L, et al. Reading light: leaf spectra capture fine-scale diversity of closely related, hybridizing arctic shrubs. New Phytologist, 232: 2283-2294.",https://doi.org/10.1111/nph.17731,[Raw sequence reads in NCBI BioProject]( http://www.peptideatlas.org/PASS/PRJNA670097):&:[Leaf spectra](https://figshare.com/projects/Spectra_from_Dryas_alaskensis_Dryas_ajanensis_and_their_hybrids/96251),[Github](https://github.com/LanceStasinski/Dryas2),,,,,,,,,,,,,,,,,,,,
5,2024,"Ren Y, et al. Reduced global plant respiration due to the acclimation of leaf dark respiration coupled with photosynthesis. New Phytologist 241: 578-591.",https://doi.org/10.1111/nph.19355,[CDS](https://cds.climate.copernicus.eu/cdsapp%23!/dataset/10.24381/cds.20d54e34?tab=overview):&: [Global Monitoring Laboratory](http://gml.noaa.gov/ccgg/trends):&:[Land-Atmosphere Interaction Research Group](http://globalchange.bnu.edu.cn/research/lai):&:[TRY](https://www.try-db.org/TryWeb/Data.php),,,,,,,,,,,,,,,,,,,,,
5,2024,"Wang RYH, et al. Reduced global plant respiration due to the acclimation of leaf dark respiration coupled with photosynthesis. New Phytologist 46:3102–3119",https://doi.org/10.1111/nph.19355,,,,,,,,,,,,,,,,,,,,,,
5,2024,"Ji F, et al. Unveiling the transferability of PLSR models for leaf trait estimation: lessons from a comprehensive analysis with a novel global dataset. New Phytologist, 243: 111-131.",https://doi.org/10.1111/nph.19807,[Github](https://github.com/UW-GCRL/PLSR_trait_models_evaluation),[Github](https://github.com/UW-GCRL/PLSR_trait_models_evaluation),,,,,,,,,,,,,,,,,,,,
3,2024,"Luo S, et al. Mycorrhizal Associations Modify Tree Diversity−productivity Relationships across Experimental Tree Plantations. New Phytologist 243(3):1205–19.",https://doi.org/10.1111/nph.19889,[Figshare](https://doi.org/10.6084/m9.figshare.25813747),,,,,,,,,,,,,,,,,,,,,
3,2025,"Wu F, et al. Linking Leaf Dark Respiration to Leaf Traits and Reflectance Spectroscopy across Diverse Forest Types.” New Phytologist 246 (2): 481–97.",https://doi.org/10.1111/nph.20267,,,,,,,,,,,,,,,,,,,,,,
2,2025,"Asao S, et al. Leaf Nonstructural Carbohydrate Residence Time, Not Concentration, Correlates with Leaf Functional Traits Following the Leaf Economic Spectrum in Woody Plants. New Phytologist 246 (4): 1505–19.",https://doi.org/10.1111/nph.20315,[ANU Data Commons](https://datacommons.anu.edu.au/DataCommons/item/anudc:6352),,,,,,,,,,,,,,,,,,,,,
2,2025,"Delgado‐Baquerizo M, et al. Integrating ecological and evolutionary frameworks for SynCom success. New Phytologist 246(5), 1922-1933.",https://doi.org/10.1111/nph.70112,,,,,,,,,,,,,,,,,,,,,,
2,2025,"Neto-Bradley BM, et al. Using Reflectance Spectra and Pl@ntNet to identify herbarium specimens: a case study with Lithocarpus. New Phytologist.",https://doi.org/10.1111/nph.70258,[Supplementary Data](https://nph.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fnph.70258&file=nph70258-sup-0001-DatasetS1.zip),[Github](https://github.com/bnetobradley/lithocarpus_spectra),,,,,,,,,,,,,,,,,,,,
2,2025,"White DM, et al. Seeing herbaria in a new light: leaf reflectance spectroscopy unlocks predictive trait and classification modeling in plant biodiversity collections. New Phytologist.",https://doi.org/10.1111/nph.70357,[Harvard Dataverse](https://doi.org/10.7910/DVN/LXPHBC),[Code available in Supplementary Data](https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.70357),,,,,,,,,,,,,,,,,,,,
1,2025,"Hernández‐Leal M, et al. Foliar spectral signatures reveal adaptive divergence in live oaks (Quercus section Virentes) across species and environmental niches. New Phytologist. 248: 370-388.",https://doi.org/10.1111/nph.70424,[Harvard Dataverse](https://doi.org/10.7910/DVN/EA2OWN),,,,,,,,,,,,,,,,,,,,,
2,2026,"Cavender-Bares J, et al. Next-generation specimen digitization: capturing reflectance spectra from the world's herbaria for modeling plant biology across time, space, and taxa. New Phytologist.",https://doi.org/10.1111/nph.70645,,,,,,,,,,,,,,,,,,,,,,
2,2026,"Silva C, et al. Evolutionary and environmental drivers of dry-season deciduousness in a legume genus. New Phytologist 250: 3631-3645.",https://doi.org/10.1111/nph.71148,[Supplementary Data](https://nph.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fnph.71148&file=nph71148-sup-0001-DatasetS1.xlsx),[Zenodo](https://doi.org/10.5281/zenodo.17526109),,,,,,,,,,,,,,,,,,,,
2,2022,"Schuster MJ, et al. Patterns of belowground overyielding and fine-root biomass in native and exotic angiosperms and gymnosperms. Okios 2023: e08877.",https://doi.org/10.1111/oik.08877,[Data Respository of UMN](https://conservancy.umn.edu/handle/11299/226614),,3,,,,,,,,,,,,,,,,,,,
4,2023,"Stefanski A, et al. Stomatal behaviour moderates the water cost of CO2 acquisition for 21 boreal and temperate species under experimental climate change. Plant, Cell & Environment, 46, 3102-3119.",https://doi.org/10.1111/pce.14559,Data upon request,,,,,,,,,,,,,,,,,,,,,
3,2024,"Dusenge ME, et al. Photosynthetic Capacity in Middle-Aged Larch and Spruce Acclimates Independently to Experimental Warming and Elevated CO2. Plant, Cell & Environment 47(12): 4886–4902.",https://doi.org/10.1111/pce.15068.,[Figshare](https://doi.org/10.6084/m9.figshare.23685984.v2),,,,,,,,,,,,,,,,,,,,,
2,2023,"Walker TWN, et al. Leaf metabolic traits reveal hidden dimensions of plant form and function. Science Advances 9:eadi4029.
",https://doi.org/10.1126/sciadv.adi4029,[OSF](https://doi.org/10.17605/OSF.IO/YZR4C),[OSF](https://doi.org/10.17605/OSF.IO/YZR4C),,,,,,,,,,,,,,,,,,,,
5,2025,"Liang S, et al. Climate Mitigation Potential for Targeted Forestation after Considering Climate Change, Fires, and Albedo. Science Advances 11 (15): eadn7915.",https://doi.org/10.1126/sciadv.adn7915,,,,,,,,,,,,,,,,,,,,,,
4,2025,"Pinto-Ledezma JN, et al. Plant diversity across dimensions: Coupling biodiversity measures from the ground and the sky. Science Advances, 11(4), eadr0278.",https://doi.org/10.1126/sciadv.adr0278,[Zenodo](https://doi.org/10.5281/zenodo.13983114),[Zenodo](https://doi.org/10.5281/zenodo.13983114),"3,5",,,,,,,,,,,,,,,,,,,
3,2024,"Kothari S, et al. Rapid estimates of leaf litter chemistry using reflectance spectroscopy. Canadian Journal of Forest Research 54:978-991.",https://doi.org/10.1139/cjfr-2023-0280,,,,,,,,,,,,,,,,,,,,,,
1,2023,"Li C, et al. Evaluating potential of leaf reflectance spectra to monitor plant genetic variation in nature. Plant Methods 19:108.
",https://doi.org/10.1186/s13007-023-01089-9,[Github](https://github.com/licheng1221/How-leaves-reflect-genetic-variation),[Github](https://github.com/licheng1221/How-leaves-reflect-genetic-variation),,,,,,,,,,,,,,,,,,,,
3,2025,"Delgado-Baquerizo M, et al. Soil biodiversity and function under global change. PLoS biology 2025 Mar 27;23(3):e3003093.",https://doi.org/10.1371/journal.pbio.3003093,,,,,,,,,,,,,,,,,,,,,,
3,2022,"Ohlert T, et al. Exploring the impact of trait number and type on functional diversity metrics in real-world ecosystems. PLOS ONE 19(9): e0306342.",https://doi.org/10.1371/journal.pone.0272791,All relevant data from this study will be made available upon study completion.,,4,,,,,,,,,,,,,,,,,,,
3,2025,"Berman L, et al. Remote sensing and bioacoustics reveal avian niche partitioning and habitat filtering. Research Square.",https://doi.org/10.21203/rs.3.rs-7761343/v1,,,,,,,,,,,,,,,,,,,,,,
4,2025,"Guzmán JA, et al. Mapping multiple dimensions of forest diversity using spaceborne spectroscopy. EcoEvoRxiv.",https://doi.org/10.32942/X24H1D,,,,,,,,,,,,,,,,,,,,,,
2,2026,"White DM, et al. A Protocol for Standardizing Measurements and Enabling Global Harmonization of Herbarium Leaf Reflectance Spectra. EcoEvoRxiv.",https://doi.org/10.32942/X2SD4D,,,,,,,,,,,,,,,,,,,,,,
2,2023,"Singh A & Townsend PA. Influence of foliar traits, watershed physiography, and nutrient subsidies on stream water quality in the upper midwestern United States. Frontiers in Environmental Science 10:974206.",https://doi.org/10.3389/fenvs.2022.974206,Data upon request,,,,,,,,,,,,,,,,,,,,,
5,2023,"Singh A, et al. Influence of foliar traits, watershed physiography, and nutrient subsidies on stream water quality in the upper midwestern United States. Frontiers in Environmental Science 10 - 2022.",https://doi.org/10.3389/fenvs.2022.974206,Data upon request,,,,,,,,,,,,,,,,,,,,,
5,2023,"Flores-Moreno H, et al. Is Australia weird? A cross-continental comparison of biological, geological and climatological features. Frontiers in Ecology and Evolution 11:1073842.",https://doi.org/10.3389/fevo.2023.1073842,,[Bitbucket](https://bitbucket.org/habacucfm/is_australia_weird),,,,,,,,,,,,,,,,,,,,
4,2023,"Warner E, et al. Higher aboveground carbon stocks in mixed-species planted forests than monocultures: a meta-analysis. Frontiers in Forests and Global Change 6:1226514.",https://doi.org/10.3389/ffgc.2023.1226514,[Zenodo](https://zenodo.org/records/8430799),,,,,,,,,,,,,,,,,,,,,
2,2024,"Van Beek JM, et al. Evaluation of the Reliability of the CCM-300 Chlorophyll Content Meter in Measuring Chlorophyll Content for Various Plant Functional Types. Sensors 24:4784.",https://doi.org/10.3390/s24154784,[Zenodo](https://zenodo.org/doi/10.5281/zenodo.10581895),,https://zenodo.org/doi/10.5281/zenodo.10581895,,,,,,,,,,,,,,,,,,,
2,2026,"IHerbSpec. Protocol for Spectral Digitization of Herbarium Specimens, v.1.2. Zenodo.",https://doi.org/10.5281/zenodo.18451589,,[Zenodo](https://zenodo.org/records/18451712),,,,,,,,,,,,,,,,,,,,
